name,category,subcategory,type,style,abvPercent,defaultVolumeMl,description,brand,base,tags
Heineken Original,beer,lager,euro-lager,Euro Pale Lager,5,330,"Dutch pale lager.",Heineken,barley,"lager;euro"
Pilsner Urquell,beer,pilsner,bohemian-pilsner,Bohemian Pilsner,4.4,330,"Classic Czech pilsner.",Pilsner Urquell,barley,"lager;pilsner"
Blue Moon Belgian White,beer,ale,witbier,Belgian Wit,5.4,355,"Coriander + orange peel.",Blue Moon,barley,"ale;wheat"
Stone Delicious IPA,beer,ipa,west-coast,West Coast IPA,7,355,"Gluten-reduced hoppy IPA.",Stone Brewing,barley,"ipa;craft"
Guinness Nitro Cold Brew,beer,stout,coffee-stout,Coffee Stout,4,440,"Nitro stout with coffee.",Guinness,barley,"stout;coffee"
Chianti Classico,wine,red,chianti,Sangiovese Blend,13.5,150,"Tuscan red with cherry + herbs.",Antinori,grapes,"red;italy"
Rioja Reserva,wine,red,tempranillo,Tempranillo,14,150,"Oaked Spanish tempranillo.",Campo Viejo,grapes,"red;spain"
Mosel Riesling,wine,white,riesling,Riesling,12,150,"Off-dry with stone fruit.",Dr. Loosen,grapes,"white;riesling"
Cava Brut,wine,sparkling,cava,Cava Brut,11.5,150,"Spanish sparkling wine.",Freixenet,grapes,"sparkling;cava"
Provence Rosé,wine,rose,grenache,Provencal Rosé,12.5,150,"Dry rosé with strawberry notes.",Whispering Angel,grapes,"rose;summer"
Old Fashioned,cocktail,classics,spirit-forward,IBA Classic,32,90,"Bourbon, bitters, sugar.",IBA,whiskey,"classic;stirred"
Espresso Martini,cocktail,shaken,coffee,Modern Classic,20,120,"Vodka + espresso.",Dick Bradsell,vodka,"coffee;martini"
Tom Collins,cocktail,highball,collins,Classic Highball,15,240,"Gin, lemon, soda.",IBA,gin,"highball;sour"
Paloma,cocktail,highball,grapefruit,Highball,12,300,"Tequila + grapefruit soda.",IBA,tequila,"highball;tequila"
Mai Tai,cocktail,tiki,tiki,Tiki Classic,24,150,"Aged + overproof rum tiki drink.",Trader Vic,rum,"tiki;rum"
Bulleit Bourbon,shot,whiskey,bourbon,Kentucky Bourbon,45,44,"High-rye bourbon.",Bulleit,barley,"whiskey;bourbon"
Casamigos Reposado,shot,tequila,reposado,Reposado Tequila,40,44,"Tequila rested in oak.",Casamigos,agave,"tequila;reposado"
Hennessy VS Cognac,shot,brandy,cognac,Cognac,40,44,"Popular cognac for shots.",Hennessy,grapes,"brandy;cognac"
Fireball Cinnamon Whisky,shot,whiskey,flavored,Cinnamon Whisky,33,44,"Cinnamon whisky shooter.",Sazerac,corn,"flavored;whiskey"
Plantation 5 Year Rum,shot,rum,aged,Aged Rum,40,44,"Barbados aged rum.",Plantation,sugarcane,"rum;aged"
White Claw Mango,other,seltzer,hard-seltzer,Hard Seltzer,5,355,"Mango flavored seltzer.",White Claw,fermented sugar,"seltzer;mango"
Topo Chico Strawberry Guava,other,seltzer,hard-seltzer,Hard Seltzer,4.7,355,"Vodka-based seltzer.",Topo Chico,vodka,"seltzer;guava"
Cutwater Vodka Mule,other,rtd,spirit-can,Canned Cocktail,7,355,"Vodka mule RTD.",Cutwater,vodka,"rtd;moscow-mule"
High Noon Peach,other,seltzer,spirit-based,Spirit-based Seltzer,4.5,355,"Peach vodka soda.",High Noon,vodka,"seltzer;peach"
SunnyD Vodka Seltzer,other,seltzer,hard-seltzer,Nostalgia Seltzer,4.5,355,"Orangey vodka seltzer.",SunnyD,vodka,"seltzer;orange"
